,Estimate,Date,HCP Id,Customer Tags,Zip,Description,Amount,Labor,Materials,Win_Loss,Bid Employee,Crew,Latitude,Longitude,Total Income,Subcontractor,Total Supplies,Total Cost of Goods Sold,Net Income
0,8893,4/29/2019 9:00,24285495,,80238,Exterior Residential Painting - Resilience Exterior (Majestic Ultra Warranty),4880,4880,0,1,1,,39.756896,-104.884917,,,,,
1,8923-1,1/22/2019 9:00,27667312,noreview,80016,Exterior Residential Painting - Exterior Preparation,5325,4350,975,1,1,,39.598753,-104.690542,,,,,
2,8923-2,1/22/2019 9:00,27838971,noreview,80016,Exterior Residential Painting - Exterior Preparation,4550,3350,1200,1,1,,39.598753,-104.690542,,,,,
3,8923-3,1/22/2019 9:00,27839010,noreview,80016,Basement Drywall Patches,3160,3160,0,1,1,,39.598753,-104.690542,,,,,
4,8923-4,1/22/2019 9:00,27839020,noreview,80016,Interior Painting-Entry/Hallways,6188,6188,0,1,1,,39.598753,-104.690542,,,,,
5,8926,1/2/2019 9:30,27896327,,80238,Prime New Texture,15410,13960,1450,0,1,,39.771658,-104.882483,,,,,
6,8928,1/2/2019 11:30,27973957,,80238,Interior Paint-Main Level,5193,5193,0,1,1,,39.748081,-104.894355,,,,,
7,8930,1/11/2019 12:30,28326471,,80211,Interior Painting-Main Space Walls,3435,2775,660,0,1,,39.764896,-105.037111,,,,,
8,8931,,28763886,,80015,Study-Ceiling,4305,4305,0,0,1,,39.613193,-104.788658,,,,,
9,8932-1,,28825059,,80015,"Ceiling Scrape - Living Room, Dining Room, Upstairs Hallway",5960,5200,760,1,1,,39.619674,-104.795338,,,,,
10,8932-2,,28825281,,80015,"Interior Painting - Living Room, Dining Room",4020,3260,760,1,1,,39.619674,-104.795338,,,,,
11,8963,,30773867,,80015,Main Handrail System,4980,4000,980,0,1,,39.619674,-104.795338,,,,,
12,9508,,52718458,,80015,Demo,9880,9880,0,0,,,39.619674,-104.795338,,,,,
13,8933,1/21/2019 9:30,28932512,,80016,Interior Paint - Piano Room,3590,2990,600,1,1,,39.591697,-104.695017,,,,,
14,8934,,29127783,,80015,Exterior Residential Painting - Exterior Preparation,4575,3785,1140,1,1,,39.630202,-104.765543,,,,,
15,8935,,29333269,,80016,Entry and Family Room,1040,800,240,0,1,,39.62389,-104.702045,,,,,
16,8936,,29333397,"Archive,interior,80018,Exterior",80018,Interior Painting,4880,3720,1160,0,1,,39.646937,-104.734619,,,,,
17,8937,,29333447,"Archive,Exterior",80016,,0,0,0,1,1,,39.583852,-104.701817,,,,,
18,8939,1/27/2019 17:30,29333825,noreview,80238,Powder Room,5630,5630,0,1,1,,39.749702,-104.888853,,,,,
19,9759,,58897240,noreview,80238,Bedroom Furniture,2295,1885,410,0,,,39.749702,-104.888853,,,,,
20,8943-1,2/4/2019 11:30,29363271,,80020,Entry,5520,4990,940,1,1,,39.940688,-105.045202,,,,,
21,8943-2,2/4/2019 11:30,29956354,,80020,Basement,1200,940,260,1,1,,39.940688,-105.045202,,,,,
22,8948,,30378775,,80020,Art Niche,4980,4200,780,0,1,,39.940688,-105.045202,,,,,
23,8940,1/30/2019 10:30,29423479,,80238,Siding Replacement,260,180,80,1,1,,39.791455,-104.879358,,,,,
24,8944,2/5/2019 11:30,29769239,,80134,Entry and Family Room,4990,4115,875,0,1,,39.558435,-104.793602,,,,,
25,8941-1,,29787128,,80016,Entry,6065,5085,980,0,1,,39.599516,-104.688502,,,,,
26,8941-2,,29787129,,80016,TV-Entertainment Area,1780,1780,0,0,1,,39.599516,-104.688502,,,,,
27,8942,2/6/2019 15:30,29903382,,80016,Measure and advise on ceiling painting,0,0,0,1,1,,39.591297,-104.67522,,,,,
28,8972,,31046687,,80016,Kitchen Shutters,1100,1100,0,1,1,,39.591297,-104.67522,,,,,
29,8945,,30040166,,80108,Kitchen Ceiling and Touch Ups,2790,2410,380,1,1,,39.437735,-104.885067,,,,,
30,8946,2/11/2019 9:00,30068099,,80516,Painting quotes - Exterior Paint Job: fresh and beautiful!,0,0,0,1,1,,40.040983,-105.038732,,,,,
31,8951-1,,30379564,,80516,Exterior Residential Painting - Left Elevation,6161,6161,0,1,1,,40.040983,-105.038732,,,,,
32,8951-2,,30380512,,80516,Exterior Residential Painting - Front Elevation,260,260,0,1,1,,40.040983,-105.038732,,,,,
33,8953,2/12/2019 15:30,30184246,,80238,Exterior Residential Painting - Exterior Preparation,6120,5030,1090,1,1,,39.763072,-104.884688,,,,,
34,8947,,30311459,,80007,Interior Walls-Main Floor-Appx 3550 sq. ft. ,9840,9840,0,0,1,,39.834908,-105.190947,,,,,
35,8952,,30415523,,80303,Exterior Residential Painting - Exterior Preparation,4925,3950,975,0,1,,40.012289,-105.229878,,,,,
36,8949,,30378962,,80220,Exterior,0,0,0,1,1,,39.746009,-104.923604,,,,,
37,8950-1,,30379312,,80220,Exterior Residential Painting - SW Duration (Majestic  Warranty),5940,4700,1240,0,1,,39.746009,-104.923604,,,,,
38,8950-2,,30379324,,80220,Master Suite,960,680,280,0,1,,39.746009,-104.923604,,,,,
39,8968,2/22/2019 11:30,30545210,,80015,Exterior Residential Painting - Exterior Preparation,3690,2800,890,0,1,,39.630767,-104.746361,,,,,
40,8964,2/20/2019 15:30,30600492,Repeat,80015,Exterior Residential Painting - Exterior Preparation,4525,3565,960,1,1,,39.624145,-104.73101,,,,,
41,8966-1,2/21/2019 8:30,30624912,noreview,80016,Exterior Residential Painting - Exterior Preparation,4660,3700,960,1,1,,39.589657,-104.691926,0,150,0,150,-150
42,8966-2,2/21/2019 8:30,30926780,noreview,80016,Family Room,895,895,0,0,1,,39.589657,-104.691926,0,150,0,150,-150
43,8955,,30636006,Referral,80134,Exterior Residential Painting - Exterior Preparation,3700,2920,780,1,1,,39.511318,-104.800343,,,,,
44,8956-1,4/6/2020 10:15,30636759,no review,80016,Exterior Residential Painting - Exterior Preparation,3830,3025,965,1,1,1,39.590481,-104.693061,8180,4650,0,4650,3530
45,8956-2,4/7/2020 9:45,30636810,no review,80016,Main Level,5975,4995,980,1,1,1,39.590481,-104.693061,8180,4650,0,4650,3530
46,8957,,30640382,,80015,Exterior Residential Painting - Exterior Preparation,3560,2720,840,0,1,,39.621422,-104.744339,,,,,
47,8967-1,2/21/2019 9:30,30665036,,80224,Family Room-Ceiing,1355,1355,0,1,1,,39.681354,-104.917371,,,,,
48,8967-2,2/21/2019 9:30,30930123,,80224,Main Level Trim,1305,1005,300,1,1,,39.681354,-104.917371,,,,,
49,8958,2/18/2019 13:30,30680093,Repeat,80138,Estimate Basement remodel,0,0,0,0,1,,39.510214,-104.721607,,,,,
50,8961,,30744943,Repeat,80138,Basement-Prime Appx 1680 Sq Ft,8960,8960,0,0,1,,39.510214,-104.721607,,,,,
51,8959,2/18/2019 14:00,30680594,Repeat,80602,"Painting quotes - Cabinet Painting: Fresh new staining, painting or replacement",0,0,0,1,1,,39.935262,-104.905686,,,,,
52,8969,2/22/2019 15:30,30735609,,80015,Exterior Residential Painting - Exterior Preparation,2515,2075,440,1,1,,39.631607,-104.78816,2795,,0,0,2795
53,8960,,30739657,,80016,Exterior Residential Painting - Exterior Preparation,5875,4955,920,1,1,,39.6044,-104.767208,,,,,
54,8962,,30753129,,80134,Handrail,12410,11110,1300,0,1,,39.436132,-104.787558,,,,,
55,8981-1,2/27/2019 13:30,30756848,,80210,Living Room and Dining Room,4278,3660,625,1,1,,39.682764,-104.981485,,,,,
56,8981-2,2/27/2019 13:30,31293770,,80210,Kitchen Cabinets-Preperation,2865,2865,0,1,1,,39.682764,-104.981485,,,,,
57,8979,2/25/2019 9:30,30788725,,80016,Master Suite,870,870,0,1,1,,39.615511,-104.710781,3445,2000,155.35,2155.35,1289.65
58,9444,,49083487,,80016,Main Level Baseboard Trim,3445,3365,380,1,1,,39.615511,-104.710781,3445,2000,155.35,2155.35,1289.65
59,8965,2/25/2019 14:00,30923725,"Stapleton,interior",80238,Painting quotes - Interior Painting: Crisp and Clean!,0,0,0,1,1,,39.75252,-104.885812,,,,,
60,8971,,31007997,"Stapleton,interior",80238,Interior Walls - Main ,5070,4280,790,0,1,,39.75252,-104.885812,,,,,
61,8970,,30932111,80016,80016,Exterior Residential Painting - Exterior Preparation,4725,3745,980,0,1,,39.582255,-104.692289,,,,,
62,8977,3/1/2019 10:30,30971303,,80134,Exterior Residential Painting - Exterior Preparation,3895,3115,780,1,1,,39.511484,-104.800064,,,,,
63,8973,,31104976,,80124,Basement-Prime,4600,3740,860,1,1,,39.529012,-104.916471,,,,,
64,9448,,49568641,,80124,Kitchen Cabinets - Cabinet Preparation,4960,4240,720,0,1,,39.529012,-104.916471,,,,,
65,8974-1,,31105385,,80104,Exterior Residential Painting - Exterior Preparation,3660,2865,795,1,1,,39.381437,-104.805857,,,,,
66,8974-2,,31105411,,80104,Interior Bedroom,420,420,0,0,1,,39.381437,-104.805857,,,,,
67,8975,,31106512,,80210,Exterior Residential Painting - Exterior Preparation,4130,3320,810,0,1,,39.665836,-104.941456,,,,,
68,8994,3/8/2019 10:30,31119512,,80230,"Entry, Living Room and Stairway to Basement",5255,4545,710,1,1,,39.72461,-104.895155,,,,,
69,8976,,31143983,,,Ceiling,1480,1480,0,0,1,,39.751359,-104.886022,,,,,
70,8985,3/4/2019 9:30,31165473,,80015,Exterior Residential Painting - Exterior Preparation,3550,2735,815,0,1,,39.615017,-104.731945,,,,,
71,8986,3/4/2019 10:30,31194131,,80015,Handrail,785,720,65,1,1,,39.623856,-104.74669,,,,,
72,8983,3/4/2019 15:30,31229564,,80014,Interior-Walls,2110,2110,0,0,1,,39.643144,-104.820829,,,,,
73,8993,3/7/2019 9:30,31279015,,80016,Exterior Residential Painting - Exterior Preparation,4990,4055,935,1,1,,39.605144,-104.753141,,,,,
74,8990,3/4/2019 11:30,31279519,,80016,Exterior Residential Painting - Exterior Preparation,3765,2825,940,1,1,,39.612532,-104.70751,,,,,
75,8980,,31292958,,80230,Son's Bedroom,2995,2495,500,1,1,,39.721382,-104.87874,,,,,
76,8992,3/7/2019 8:30,31315779,,80228,Entry and Family Room Hallways,6500,5580,920,1,1,,39.708023,-105.160932,,,,,
77,8982,,31336765,repeat customer,80017,Ceiling Scraping,4760,3660,1100,1,1,,39.686411,-104.759366,,,,,
78,8984,,31352868,,80016,Interior Ceilings,4815,4130,685,1,1,,39.594907,-104.674831,,,,,
79,9377,,44661005,,80016,,0,0,0,1,3,,39.594907,-104.674831,,,,,
80,9378,10/25/2019 9:00,44661038,,80016,Bedroom Suite,2960,2465,495,0,1,,39.594907,-104.674831,,,,,
81,8987,,31399563,,80134,"Walls-Entry, Family Room, Kitchen, Mid Room, Stairways, Hallways and Loft",6590,5270,1320,0,1,,39.525748,-104.819367,,,,,
82,8989,3/8/2019 8:30,31455391,,80015,Popcorn Scrape,7540,6035,1505,0,1,,39.622218,-104.746052,,,,,
83,8996,3/12/2019 11:30,31605326,,80016,Exterior Residential Painting - Exterior Preparation,3300,2420,880,0,1,,39.630248,-104.704,,,,,
84,8995,,31654051,,80209,Trim: Main Level,2350,2350,0,1,1,,39.715546,-104.985374,0,,48.68,48.68,-48.68
85,9006,,32401425,,80209,,0,0,0,1,1,,39.715546,-104.985374,0,,48.68,48.68,-48.68
86,9007,,32401696,,80209,Painting quotes - Interior Painting: Crisp and Clean!,2345,2345,0,1,1,,39.715546,-104.985374,0,,48.68,48.68,-48.68
87,8997,3/18/2019 16:00,31839970,,,Custom Services - Custom Job,0,0,0,1,1,,0,0,,,,,
88,8998,,31962574,"noreview,no review",80015,Bedrooms,3030,3030,0,1,1,,39.623211,-104.745999,,,,,
89,9073,4/5/2019 11:30,32047616,,80238,Exterior Residential Painting - Exterior Preparation,6165,4915,1250,0,1,,39.758606,-104.871222,,,,,
90,8999,,32113198,,80238,Exterior Residential Painting - Exterior Preparation,3785,2875,910,1,1,,39.749889,-104.891056,,,,,
91,9026,4/2/2019 9:30,32189982,,80112,Kitchen Cabinets,2490,2150,340,0,1,,39.583216,-104.888117,,,,,
92,9025,4/1/2019 14:30,32205361,,80122,Main Level Wall Paint,4005,3455,550,1,1,,39.589181,-104.946244,,,,,
93,9016,4/1/2019 9:30,32213118,,80113,Exterior Residential Painting - Exterior Preparation,3625,2760,865,1,1,,39.626535,-104.981427,,,,,
94,9001,,32245171,,80014,Walls Stairway Dining Area,520,520,0,0,1,,39.662881,-104.856922,,,,,
95,9002,,32255990,,80134,Exterior Residential Painting - Exterior Preparation,3850,2985,865,1,1,,39.524865,-104.791601,,,,,
96,9003,,32288308,,80238,Interior Painting,8208,6720,1488,1,1,,39.753531,-104.892415,,,,,
97,9004,,32302414,,80238,Exterior Residential Painting - Exterior Preparation,4505,3590,915,0,1,,39.751179,-104.893567,,,,,
98,9024,3/27/2019 9:30,32314232,,80015,Kitchen Cabinets,2725,2465,260,1,1,,39.61771,-104.793143,,,,,
99,9005,,32327065,,80238,Ceilings,2185,1805,380,0,1,,39.802151,-104.881637,,,,,
100,9008,,32420442,,80022,Exterior Residential Painting - Exterior Preparation,3605,2725,880,0,1,,39.879584,-104.819681,,,,,
101,9038,4/1/2019 14:30,32492105,,80016,Exterior Wood Beams,1485,1485,0,1,1,,39.585176,-104.691164,,,,,
102,9410,,47081440,,80016,"Custom Services - Handrails & woodwork and much much more! (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,1,1,,39.585176,-104.691164,,,,,
103,9416,12/9/2019 11:00,47252059,,80016,Family Room Window Sill,245,245,0,1,1,,39.585176,-104.691164,,,,,
104,9009,,32494012,,80238,Kitchen Cabinets,4820,4820,0,1,1,,39.758546,-104.883803,,,,,
105,9033,4/9/2019 9:30,32533545,,80015,Exterior Residential Painting - Exterior Preparation,4580,3555,1025,0,1,,39.619152,-104.79327,,,,,
106,9020,4/2/2019 9:30,32538846,,80130,Exterior Residential Painting - Exterior Preparation,3650,2860,790,1,1,,39.545565,-104.928419,,,,,
107,9010-1,,32585748,,80022,Main Level Walls,2380,1745,635,0,1,,39.893804,-104.779712,320,170,0,170,150
108,9010-2,,36962814,,80022,Stairway Walls - 2 Coats,335,335,0,1,1,,39.893804,-104.779712,320,170,0,170,150
109,9012,,32675712,,80228,Interior Painting,2690,2245,445,1,1,,39.669681,-105.169944,,,,,
110,9013,,32681078,,80015,Exterior Trim,3835,3575,260,1,1,,39.626611,-104.772422,,,,,
111,9014,,32681888,,80016,New Wainscot,4975,4295,680,0,1,,39.569917,-104.700709,,,,,
112,9039,4/2/2019 15:30,32735037,,80238,Column Demo,5555,4915,640,0,1,,39.764215,-104.879033,,,,,
113,9021,4/2/2019 14:30,32752622,,80238,Exterior Residential Painting - Exterior Preparation,6100,4860,1240,1,1,,39.763564,-104.89272,,,,,
114,9022,4/16/2019 8:00,32778999,,80016,Master Suite,1135,815,320,1,1,1,39.601586,-104.778839,,,,,
115,9015,4/3/2019 11:00,32792950,"Exterior,interior,Repeat",80138,Interior Painting,8225,6740,1485,1,1,,39.515009,-104.752611,,,,,
116,9041,4/10/2019 14:00,32798900,,80202,Exterior Residential Painting - Exterior Preparation,5735,4465,1270,1,1,,39.660636,-104.870721,,,,,
117,9023-1,4/3/2019 10:30,32818663,,80238,Exterior Residential Painting - Exterior Preparation,4315,3355,960,1,1,,39.750698,-104.883499,,,,,
118,9023-2,4/3/2019 10:30,33003344,,80238,Exterior Residential Painting - Exterior Preparation,4815,3835,980,1,1,,39.750698,-104.883499,,,,,
119,9017,4/2/2019 16:15,32877450,Exterior,80238,Exterior Residential Painting - Exterior Preparation,6090,5050,1240,1,1,,39.757115,-104.86617,,,,,
120,9018,4/2/2019 15:15,32886160,Stapleton,80238,Exterior Residential Painting - Exterior Preparation,5780,4780,1200,1,1,,39.757,-104.866171,,,,,
121,9047,,33692788,Stapleton,80238,Interior Painting,3405,2940,465,0,1,,39.757,-104.866171,,,,,
122,9019,4/4/2019 13:00,32887447,Exterior,80651,Beams and Ceiling,26940,21600,5340,0,1,,40.255805,-104.891958,,,,,
123,9031,4/8/2019 9:00,33031155,,80111,Exterior Residential Painting - Exterior Preparation,4640,3590,1050,1,1,,39.599404,-104.92041,,,,,
124,9057,4/10/2019 9:30,33127954,,80223,Exterior Residential Painting - Exterior Preparation,32580,26580,6000,0,1,,39.722058,-105.006003,,,,,
125,9049,4/12/2019 11:30,33138107,,80134,Interior Painting,4517.25,4060,695,0,1,,39.53028,-104.81198,,,,,
126,9034,4/9/2019 9:30,33140817,,80013,Exterior Residential Painting - Exterior Preparation,5489,4565,924,1,1,,39.651344,-104.775646,,,,,
127,9035,4/9/2019 14:30,33168230,"Stapleton,80238,Exterior",80238,Exterior Residential Painting - Exterior Preparation,5960,4620,1340,1,1,,39.750778,-104.894534,,,,,
128,9040,4/10/2019 9:30,33174224,,80238,Exterior Residential Painting - Exterior Preparation,6100,4895,1205,1,1,,39.755504,-104.896506,,,,,
129,9032,4/8/2019 11:30,33190447,,80238,Cabinet Painting - Kitchen and Butler Pantry,3367,3020,347,0,1,,39.758812,-104.87122,5152.5,2475,0,2475,2677.5
130,10359,4/1/2021 13:30,84466398,,80238,Exterior Residential Painting - Exterior Preparation,5152.5,4132.5,1270,1,1,,39.758812,-104.87122,5152.5,2475,0,2475,2677.5
131,10414,,86547686,,80238,Front Deck Railing,1280,1280,0,1,,,39.758812,-104.87122,5152.5,2475,0,2475,2677.5
132,10671-1,7/6/2021 14:30,95189296,,80016,Exterior Residential Painting - Exterior Preparation,5496.9,4376.9,1445,0,1,,39.604348,-104.765312,5152.5,2475,0,2475,2677.5
133,10671-2,7/6/2021 14:30,95646654,,80016,Interior Painting-2 Coats,8435,7380,1405,0,1,,39.604348,-104.765312,5152.5,2475,0,2475,2677.5
134,10671-3,7/6/2021 14:30,95647163,,80016,"Commercial, Epoxy Coatings, Color Consultations - Garage Floor Epoxy Coatings",3550,3750,0,0,1,,39.604348,-104.765312,5152.5,2475,0,2475,2677.5
135,9027,,33204504,,80015,Exterior Residential Painting - Exterior Preparation,3520,2640,880,1,1,,39.622414,-104.780742,,,,,
136,9029,,33204620,,80015,Exterior Residential Painting - Exterior Preparation,4240,3360,880,1,1,,39.613092,-104.737473,,,,,
137,9045,4/11/2019 16:30,33260294,,80134,Exterior Residential Painting - Exterior Preparation,6615,5260,1355,1,1,,39.538931,-104.79716,,,,,
138,9063,4/19/2019 10:30,33277130,,80129,Interior Painting,4745,4060,685,1,1,,39.54091,-105.007843,,,,,
139,9055,4/12/2019 14:30,33338547,,80205,Exterior Residential Painting - Exterior Preparation,11505,9825,1680,1,1,,39.766809,-104.964536,0,750,0,750,-750
140,9054,4/15/2019 9:00,33338962,,80238,Stain fence,2060,1645,415,1,1,,39.757603,-104.880465,0,750,0,750,-750
141,9030,4/17/2019 17:30,33374654,,80018,Exterior Painting,0,0,0,1,1,,39.640011,-104.728247,,,,,
142,9036,4/10/2019 13:30,33422641,Stapleton,80238,Handrail,2990,2455,535,0,1,,39.751457,-104.881657,,,,,
143,9044-1,4/11/2019 14:30,33426025,,80238,Exterior Residential Painting - Exterior Preparation,5845,4655,1390,0,1,,39.757225,-104.866134,,,,,
144,9044-2,4/11/2019 14:30,33681362,,80238,Kitchen Cabinets,3780,3340,440,0,1,,39.757225,-104.866134,,,,,
145,9048,4/12/2019 9:30,33449472,,80230,Kitchen Cabinets,5078,4515,563,0,1,,39.731642,-104.899098,,,,,
146,9037,6/24/2019 7:30,33474888,no review,80122,Living Room Ceiling,2105,2105,0,1,1,2,39.587163,-104.942934,2605,2175,0,2175,430
147,9466,2/6/2020 8:30,50501936,no review,80122,Bedroom Paint-2 Coats,2605,2165,440,1,,,39.587163,-104.942934,2605,2175,0,2175,430
148,10432,4/26/2021 11:00,87165817,no review,80122,Main Level Restroom,1605,955,650,1,1,,39.587163,-104.942934,2605,2175,0,2175,430
149,9058-1,4/16/2019 10:30,33497577,,80111,Exterior Residential Painting - Exterior Preparation,6960,5615,1345,1,1,,39.619785,-104.863027,,,,,
150,9058-2,4/16/2019 10:30,34014175,,80111,Master Restroom,425,315,110,1,1,,39.619785,-104.863027,,,,,
151,9061,4/22/2019 9:00,33530461,,80238,Exterior Residential Painting - Exterior Preparation,7130,5825,1305,1,1,,39.763127,-104.885271,,,,,
152,9127,6/19/2019 9:00,33569592,,80016,Fence-Cleaning,1395,1115,280,1,1,,39.60857,-104.799842,,,,,
153,9056,4/15/2019 10:30,33603699,,80238,Exterior Residential Painting - Exterior Preparation,4975,3850,1125,1,1,,39.767452,-104.882765,,,,,
154,9059,4/18/2019 17:00,33673484,,80403,Basement,1580,1400,180,0,1,,39.80804,-105.169958,0,500,0,500,-500
155,9108,,35380485,,80403,Office Cabinets Upper,2750,2490,260,0,1,,39.80804,-105.169958,0,500,0,500,-500
156,9189,,38328498,,80023,Kitchen Cabinets,5080,4635,445,1,1,,39.950551,-105.030198,0,500,0,500,-500
157,9046,,33692267,,80016,Exterior Residential Painting - Exterior Preparation,5450,4465,985,0,1,,39.578543,-104.698321,,,,,
158,9079,4/24/2019 9:30,33694504,,80013,Exterior Residential Painting - Exterior Preparation,5365,4220,1145,0,1,,39.647784,-104.777846,,,,,
159,9050,,33700693,,80108,Pergola,1968,1588,380,0,1,,39.487894,-104.894894,,,,,
160,9051,,33700803,,80108,Interior Walls,7260,6155,1105,0,1,,39.487894,-104.894894,,,,,
161,9060-1,4/18/2019 8:30,33744255,,80016,Exterior Residential Painting - Exterior Preparation,4040,3295,745,0,1,,39.589664,-104.742853,,,,,
162,9060-2,4/18/2019 8:30,34015609,,80016,Kitchen Cabinets,5155,4575,580,0,1,,39.589664,-104.742853,,,,,
163,9064,4/19/2019 13:00,33775723,,80238,Exterior Residential Painting - Exterior Preparation,7445,5830,1615,1,1,,39.755301,-104.881175,,,,,
164,9052,4/18/2019 13:30,33789057,Stapleton,80238,Seal fence and gate,2205,1790,415,1,1,,39.754931,-104.897682,,,,,
165,9065,4/19/2019 14:30,33821928,,80015,Exterior Residential Painting - Exterior Preparation,5995,4795,1200,1,1,,39.609865,-104.766603,,,,,
166,9053-1,4/18/2019 11:00,33842744,Stapleton,80010,Staining Deck,950,885,65,0,1,,39.753532,-104.856128,,,,,
167,9053-2,4/18/2019 11:00,34100001,Stapleton,80010,Deck Staining,1655,1365,290,0,1,,39.753532,-104.856128,,,,,
168,9062-1,4/19/2019 8:30,33876447,"no review,noreview",80016,Exterior Residential Painting - Exterior Preparation,5990,4640,1350,1,1,,39.589781,-104.6766,0,2400,32.38,2432.38,-2432.38
169,9062-2,4/19/2019 8:30,34100270,"no review,noreview",80016,Back Deck Railings and Spindles,995,820,175,1,1,,39.589781,-104.6766,0,2400,32.38,2432.38,-2432.38
170,10183-1,1/19/2021 10:00,76419228,"no review,noreview",80015,Exterior Residential Painting - Exterior Preparation,4675,3725,1200,1,3,,39.621705,-104.743102,0,2400,32.38,2432.38,-2432.38
171,10183-2,1/19/2021 10:00,77024230,"no review,noreview",80015,Ceiling Repair,2395,1995,400,0,3,,39.621705,-104.743102,0,2400,32.38,2432.38,-2432.38
172,10183-3,1/19/2021 10:00,77027005,"no review,noreview",80015,Front and Back Decking,990,770,220,0,3,,39.621705,-104.743102,0,2400,32.38,2432.38,-2432.38
173,10183-4,1/19/2021 10:00,77102151,"no review,noreview",80015,Gutter Replacement,582,582,0,0,3,,39.621705,-104.743102,0,2400,32.38,2432.38,-2432.38
174,10496,,89925822,"no review,noreview",80016,Malta Way Interior Painting,6980,5920,1060,0,,,39.589781,-104.6766,0,2400,32.38,2432.38,-2432.38
175,9071,4/19/2019 9:30,33890831,,80016,Shutters,3115,2590,525,1,1,,39.594179,-104.676919,,,,,
176,9069,4/22/2019 9:30,33924434,,80238,Exterior Residential Painting - Exterior Preparation,5420,4225,1195,0,1,,39.767778,-104.88908,,,,,
177,9068,4/22/2019 8:30,33952724,,80015,Exterior Residential Painting - Exterior Preparation,3985,3100,885,1,1,,39.615631,-104.752247,,,,,
178,9078,4/23/2019 14:30,33952747,repeat customer,80015,Exterior Residential Painting - Exterior Preparation,5605,4505,1100,0,1,,39.629645,-104.772338,,,,,
179,9077,4/23/2019 13:30,33993035,,80015,Exterior Residential Painting - Exterior Preparation,7055,5730,1325,1,1,,39.613137,-104.799028,,,,,
180,9070,4/22/2019 11:30,34066444,,80016,Interior Paintging-Walls,8330,7230,1100,0,1,,39.571886,-104.66507,,,,,
181,9081,4/25/2019 11:30,34111791,,80124,Exterior Residential Painting - Exterior Preparation,6480,5330,1150,0,1,,39.528466,-104.89856,,,,,
182,9066,,34117257,,80228,Exterior Residential Painting - Exterior Preparation,3980,3115,865,1,1,,39.697171,-105.13331,,,,,
183,9067,,34159252,,80015,Exterior Residential Painting - Exterior Preparation,3970,3145,825,0,1,,39.627886,-104.763548,,,,,
184,9082-1,4/25/2019 17:00,34244036,,80134,Exterior Residential Painting - Exterior Preparation,6050,5015,1035,1,1,,39.510629,-104.796462,,,,,
185,9082-2,4/25/2019 17:00,34544748,,80134,"Gutters- 5""",1800,1800,0,1,1,,39.510629,-104.796462,,,,,
186,9080,4/25/2019 10:30,34267722,,80015,Exterior Residential Painting - Exterior Preparation,5640,4520,1120,0,1,,39.623831,-104.769612,,,,,
187,9083,4/26/2019 11:30,34305444,,80214,Interior Paint,9740,8405,1335,0,1,,39.727878,-105.0771,,,,,
188,9085,4/26/2019 9:30,34325503,,80016,Exterior Residential Painting - Exterior Preparation,4385,3455,930,1,1,,39.613017,-104.707523,,,,,
189,9074,,34332900,,80238,Basement,1050,885,165,0,1,,39.796541,-104.887385,680,640,0,640,40
190,9086,4/26/2019 10:30,34339653,,80015,Exterior Residential Painting - Exterior Preparation,4775,3755,1020,1,1,,39.622378,-104.759192,,,,,
191,9093,5/1/2019 12:30,34352665,no review,80134,Exterior Residential Painting - Exterior Preparation,4695,3770,925,1,1,,39.518116,-104.798714,4805,1050,830.01,1880.01,2924.99
192,9851-1,7/13/2020 15:00,61315545,no review,80122,Exterior Residential Painting - Exterior Preparation,4195,3375,820,1,2,,39.576773,-104.937687,4805,1050,830.01,1880.01,2924.99
193,9851-2,7/13/2020 15:00,61816860,no review,80122,Cabinets - Cabinet Preparation,3240,2850,390,0,2,,39.576773,-104.937687,4805,1050,830.01,1880.01,2924.99
194,9851-3,7/13/2020 15:00,61918262,no review,80122,Prep and lime wash brick surfaces of home,3350,2400,950,0,2,,39.576773,-104.937687,4805,1050,830.01,1880.01,2924.99
195,9075,,34366529,,,Front Upper Stucco,1790,1365,425,1,1,,0,0,,,,,
196,9087-1,4/29/2019 9:30,34367541,,80238,Exterior Residential Painting - Exterior Preparation,4875,3705,1170,1,1,,39.750284,-104.893073,,,,,
197,9087-2,4/29/2019 9:30,34627292,,80238,Pergola,1280,915,365,1,1,,39.750284,-104.893073,,,,,
198,9101,4/29/2019 14:30,34374060,,80238,Fencing and Trellis,1155,790,365,1,1,,39.763503,-104.88471,,,,,
199,9089,4/30/2019 17:00,34380166,,80018,Exterior Residential Painting - Exterior Preparation,4335,3625,710,1,1,,39.692708,-104.706382,,,,,
200,9132,5/14/2019 14:30,34393724,,80238,Front Porch,3400,2930,470,0,1,,39.755702,-104.888057,,,,,
201,9098,5/2/2019 8:30,34404233,,80015,Exterior Residential Painting - Exterior Preparation,5820,4750,1070,0,1,,39.622407,-104.777603,,,,,
202,9076,4/29/2019 11:30,34474899,,80122,Exterior Residential Painting - Exterior Preparation,4995,4220,775,0,1,,39.577542,-104.977387,,,,,
203,9090,4/29/2019 10:30,34475307,,80218,Exterior Residential Painting - Exterior Preparation,3465,3055,410,0,1,,39.721039,-104.969578,,,,,
204,9100,5/3/2019 14:30,34489684,,80015,Exterior Residential Painting - Exterior Preparation,3950,3075,875,1,1,,39.617563,-104.722611,,,,,
