,Estimate,Date,HCP Id,Customer Tags,Zip,Description,Amount,Labor,Materials,Win_Loss,Bid Employee,Crew,Latitude,Longitude,Total Income,Subcontractor,Total Supplies,Total Cost of Goods Sold,Net Income
697,9534-2,3/26/2020 11:30,53746894,Erik,80238,Exterior Residential Painting - Exterior Preparation,4895,3800,1095,1,1,,39.787159,-104.888978,4645,2300,0,2300,1994.85
698,9522,,53489476,"BNI,Property Manager,Jim Shonts",80124,Interior Repair,245,245,0,1,1,,39.559765,-104.899331,3365,1700,0,1700,1665
699,9674,5/16/2020 10:00,56582831,"BNI,Property Manager,Jim Shonts",80013,Interior Walls,1900,1460,440,0,1,,39.656695,-104.772886,3365,1700,0,1700,1665
700,9734,6/9/2020 10:00,57958680,"BNI,Property Manager,Jim Shonts",80211,Wood Replacement and Repair,9310,9310,0,0,2,,39.77563,-105.028623,3365,1700,0,1700,1665
701,9783,,59447585,"BNI,Property Manager,Jim Shonts",33813,,0,0,0,1,,,27.965132,-81.939522,3365,1700,0,1700,1665
702,9939,8/20/2020 9:00,64584601,"BNI,Property Manager,Jim Shonts",80123,Interior Painting ,0,0,0,1,1,,39.618781,-105.025407,3365,1700,0,1700,1665
703,10063,10/12/2020 11:30,68944060,"BNI,Property Manager,Jim Shonts",80130,Exterior Residential Painting - Exterior Preparation,4960,3900,1060,0,2,,39.529425,-104.912926,3365,1700,0,1700,1665
704,10053,10/12/2020 12:00,69017396,"BNI,Property Manager,Jim Shonts",80109,Stain Pergola and Deck,1580,1220,360,1,2,,39.387733,-104.90096,3365,1700,0,1700,1665
705,10125,11/27/2020 9:00,72685788,"BNI,Property Manager,Jim Shonts",80016,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",4820,4200,620,1,3,,39.58315,-104.73499,3365,1700,0,1700,1665
706,10157,12/24/2020 8:00,74863077,"BNI,Property Manager,Jim Shonts",80218,Interior ,1540,1200,340,1,1,,39.735552,-104.975598,3365,1700,0,1700,1665
707,10276,,80807882,"BNI,Property Manager,Jim Shonts",80223,Prep ,1540,1100,640,0,,,39.722013,-104.992303,3365,1700,0,1700,1665
708,9523,,53492634,interior,80238,Upstairs Hallway Ceiling,975,695,280,0,1,,39.756203,-104.897333,,,,,
709,9525,,53511374,Erik,,Interior Painting - walls and ceilings,0,0,0,1,2,,0,0,,,,,
710,9526-1,3/23/2020 9:00,53511891,Erik,,"Paint interior upstairs: All walls, ceilings, and trim; no doors",7985,6535,1450,0,2,,0,0,,,,,
711,9526-2,3/23/2020 9:00,53521742,Erik,,Exterior Residential Painting - Exterior Preparation,3510,2765,745,0,2,,0,0,,,,,
712,9526-3,3/23/2020 9:00,53523023,Erik,,Paint Downstairs Kitchen Interior,670,670,0,0,2,,0,0,,,,,
713,9526-4,3/23/2020 9:00,53523057,Erik,,"Prep and Stain Back Deck, Stairs, Rails, Lattice",1300,1300,0,0,2,,0,0,,,,,
714,9526-5,3/23/2020 9:00,53523126,Erik,,Replace all Fascia; prep and paint,1450,1450,0,0,2,,0,0,,,,,
715,9530,3/26/2020 14:30,53528553,,80015,Exterior Residential Painting - Exterior Preparation,3995,3020,975,1,1,,39.611345,-104.749435,3995,150,0,150,3845
716,9533-1,3/26/2020 11:00,53551583,Erik,80238,Exterior Residential Painting - Exterior Preparation,4780,3785,995,1,1,,39.76157,-104.893676,5095,2300,0,2300,2388.35
717,9533-2,3/26/2020 11:00,53740858,Erik,80238,Exterior Residential Painting - Exterior Preparation,5215,4050,1165,1,1,,39.76157,-104.893676,5095,2300,0,2300,2388.35
718,9531-1,3/26/2020 12:30,53555089,,80238,Exterior Residential Painting - Exterior Preparation,2765,2120,645,0,1,,39.763569,-104.882546,,,,,
719,9531-3,3/26/2020 12:30,53733724,,80238,Exterior Residential Painting - Exterior Preparation,4375,3300,1075,0,1,,39.763569,-104.882546,,,,,
720,9527,,53566003,no review,80016,Basement-Main Area,1285,1140,145,1,,,39.6055,-104.764673,1285,,0,0,1285
721,9528-1,3/25/2020 14:00,53566023,,80134,Exterior Residential Painting - Exterior Preparation,4470,3730,1040,0,1,,39.528829,-104.786048,,,,,
722,9528-2,3/25/2020 14:00,54773210,,80134, Kitchen Cabinet Preparation,2495,2055,440,0,1,,39.528829,-104.786048,,,,,
723,9529,,53591863,,80138,Upstairs Bedroom,1915,1475,440,0,,,39.522129,-104.747013,,,,,
724,9532,,53737671,google,80238,Kitchen Cabinets - Cabinet Preparation,3495,2950,545,0,,,39.758412,-104.873977,,,,,
725,9543-1,4/6/2020 9:30,53878044,,80238,Exterior Residential Painting - Exterior Preparation,4995,3875,1120,1,1,,39.750002,-104.898597,5970,2550,34.72,2584.72,3385.28
726,9543-2,4/6/2020 9:30,54185701,,80238,Pergola ,975,915,160,1,1,,39.750002,-104.898597,5970,2550,34.72,2584.72,3385.28
727,9539,4/3/2020 10:30,53955212,,80016,Main Level Walls-2 Coats,5120,4310,810,0,1,,39.608901,-104.816035,,,,,
728,9540,4/3/2020 10:30,53957575,,80134,Exterior Residential Painting - Exterior Preparation,3990,2990,1000,0,1,,39.530203,-104.822889,,,,,
729,9536,,54032938,"Nextdoor,Exterior",80015,,0,0,0,1,,,39.61441,-104.768171,,,,,
730,9535-1,4/7/2020 13:00,54032950,"Nextdoor,Exterior",80015,Front Elevation,10630.5,9287.5,1343,0,1,,39.61441,-104.768171,,,,,
731,9535-2,4/7/2020 13:00,54311781,"Nextdoor,Exterior",80015,Exterior Residential Painting - Exterior Preparation,5195,4110,1085,0,1,,39.61441,-104.768171,,,,,
